OBJECTID,EASTING,NORTHING
599,548449,185357
600,548323,185367
601,548151,185360
602,548573,185400
603,550115,185433
604,550039,185629
605,550348,185426
606,550039,185629
607,550035,185401
608,550039,185629
609,550032,185802
610,550233,185928
611,550223,185575
612,550032,185802
613,550032,185802
614,550032,185802
615,550032,185802
616,550227,185241
617,550032,185802
618,550032,185802
619,550233,185928
620,550233,185928
621,550227,185241
622,549699,185593
623,549699,185593
624,550006,185848
625,550039,185629
626,550039,185629
627,550127,185118
628,550174,185225
629,550261,185135
630,550261,185135
631,550092,185254
632,550092,185254
633,550898,184808
634,550977,184741
635,550403,184705
636,550630,184565
637,550811,184654
638,550898,184808
639,550815,184731
640,550898,184808
641,550898,184808
642,550898,184808
643,550815,184731
644,550629,184622
645,550898,184808
646,549992,184850
647,549992,184850
648,550135,184907
649,550459,184816
650,550135,184907
651,550130,184774
652,550606,184922
653,550135,184907
654,549992,184850
655,550135,184907
656,550006,184752
657,550135,184907
658,550130,184774
659,550135,184907
660,550135,184907
661,550459,184816
662,546260,185197
663,546143,184911
664,546147,185496
665,546339,185217
666,546143,184911
667,546339,185217
668,546099,185244
669,546260,185197
670,546260,185197
671,546143,184911
672,546099,185244
673,546260,185197
674,546099,185244
675,545952,185056
676,546099,185244
677,545784,185046
678,545715,185096
679,545723,185273
680,545776,185366
681,545650,184889
682,545875,184888
683,545562,184717
684,545827,184731
685,545827,184731
686,545827,184731
687,545523,184624
688,545523,184624
689,545252,184913
690,545324,185043
691,545252,184913
692,545324,185043
693,545324,185043
694,545176,185076
695,545324,185043
696,545252,184913
697,545324,185043
698,545232,184703
699,545324,185043
700,545324,185043
701,545324,185043
702,545324,185043
703,545176,185076
704,545324,185043
705,545324,185043
706,545324,185043
707,545252,184913
708,545346,184445
709,545936,184405
710,545825,184508
711,545936,184405
712,545944,184323
713,545825,184508
714,545562,184412
715,545668,184424
716,545944,184323
717,545346,184445
718,545635,184405
719,545635,184405
720,545499,184316
721,545570,184535
722,545825,184508
723,545570,184535
724,545936,184405
725,545346,184445
726,545499,184316
727,545767,184476
728,545903,184525
729,547382,183987
730,547648,184130
731,547382,183987
732,547631,184191
733,547631,184191
734,547631,184191
735,547670,184430
736,547282,184082
737,547631,184191
738,547783,184234
739,547670,184430
740,547631,184191
741,547783,184234
742,547648,184130
743,547631,184191
744,546577,185299
745,546577,185299
746,546864,184928
747,546864,184928
748,546862,185136
749,546864,184928
750,546864,184928
751,546862,185136
752,547147,185147
753,547147,185147
754,546968,185099
755,547035,185302
756,547300,185066
757,547300,185066
758,547300,185066
759,547300,185066
760,547147,185147
761,547035,185302
762,547300,185066
763,547147,185147
764,547300,185066
765,547741,184609
766,547741,184609
767,547467,184738
768,547741,184609
769,547741,184609
770,547741,184609
771,547741,184609
772,547741,184609
773,547567,184403
774,547384,184420
775,547442,184440
776,547384,184420
777,547442,184440
778,547371,184855
779,547384,184420
780,547442,184440
781,547567,184403
782,547603,184773
783,547400,185008
784,547741,184609
785,547442,184440
786,547741,184609
787,547603,184773
788,547084,184529
789,547269,184326
790,547126,184701
791,547020,184671
792,547084,184529
793,546996,184702
794,547020,184671
795,546861,184712
796,547126,184701
797,547133,184503
798,546996,184702
799,547084,184529
800,548859,184843
801,549113,184802
802,548880,185127
803,548859,184843
804,549113,184802
805,549113,184802
806,549114,184777
807,549113,184802
808,549239,184920
809,549114,184777
